order_id,customer_id,order_date,status,payment_method,shipping_address,shipping_date,delivery_date,total_amount,promotion_id,shipping_city,shipping_zip
119,38,2023-12-21,Delivered,Apple Pay,4165 Park Rd,2023-12-24,2023-12-30,1442.04,,Fort Worth,24168
120,20,2023-04-08,Delivered,Credit Card,9455 Second Ave,2023-04-11,2023-04-15,1072.52,,Chicago,41850
121,934,2022-06-17,Delivered,Debit Card,6001 Main St,2022-06-19,2022-06-21,94.3,,New York,98857
122,205,2023-12-15,Delivered,Credit Card,4976 Park Rd,2023-12-18,2023-12-25,0,,Houston,37168
123,746,2023-09-15,Processing,Credit Card,8155 First St,,,46,,Columbus,53610
124,606,2024-01-28,Cancelled,Debit Card,1881 Second Ave,,,0,,San Jose,52914
125,345,2024-03-29,Delivered,Credit Card,6883 First St,2024-03-30,2024-04-04,377.6,,Charlotte,56036
126,444,2022-01-21,Pending,Credit Card,9138 Main St,,,485.79,,San Diego,94613
127,626,2022-12-21,Processing,Debit Card,4831 First St,,,1269.89,,New York,98931
128,31,2024-05-13,Processing,PayPal,4769 Oak Ave,,,5831.25,,Philadelphia,81200
129,775,2024-02-26,Cancelled,Apple Pay,2534 Oak Ave,,,40.36,,Phoenix,49375
130,401,2022-07-17,Delivered,Google Pay,8670 Second Ave,2022-07-18,2022-07-24,546.88,,Dallas,66734
131,295,2024-02-18,Delivered,PayPal,6593 Park Rd,2024-02-20,2024-02-22,808.36,,New York,40689
132,92,2023-08-16,Delivered,Google Pay,2534 First St,2023-08-18,2023-08-24,3950.3,,Columbus,73483
133,564,2023-11-16,Pending,Apple Pay,6332 Park Rd,,,466.43,,San Jose,90151
134,34,2020-06-04,Delivered,PayPal,7039 Park Rd,2020-06-06,2020-06-07,480.61,,Austin,10464
135,906,2024-01-18,Delivered,Google Pay,317 Oak Ave,2024-01-20,2024-01-27,255.68,,San Jose,90786
136,177,2020-12-18,Delivered,PayPal,2109 Oak Ave,2020-12-21,2020-12-26,167.61,,Houston,69250
137,473,2023-09-14,Cancelled,Apple Pay,3895 Second Ave,,,943.96,,Dallas,98345
138,327,2023-05-05,Cancelled,Credit Card,1476 Second Ave,,,88.75,,Austin,43924
139,703,2023-10-02,Shipped,Credit Card,408 First St,2023-10-03,,191.58,,Los Angeles,15572
140,541,2021-11-03,Delivered,Credit Card,2265 Park Rd,2021-11-06,2021-11-12,402.2,,Chicago,72371
141,457,2024-05-07,Delivered,Google Pay,9334 Main St,2024-05-09,2024-05-11,39.57,,San Jose,47152
142,202,2023-08-31,Pending,PayPal,7325 Park Rd,,,220.66,,New York,29848
143,789,2024-04-26,Shipped,Credit Card,5656 Second Ave,2024-04-28,,2520.81,,San Jose,71402
144,180,2022-08-26,Delivered,Credit Card,9476 Park Rd,2022-08-29,2022-09-05,169.28,,Dallas,82305
145,782,2024-02-13,Delivered,Apple Pay,539 Oak Ave,2024-02-16,2024-02-18,48.32,,Columbus,95016
146,340,2024-01-10,Delivered,Google Pay,7257 First St,2024-01-12,2024-01-19,1579.44,,Chicago,51586
147,967,2023-08-29,Shipped,Google Pay,1180 Park Rd,2023-08-30,,8346.1,,San Antonio,21662
148,279,2023-10-18,Shipped,PayPal,6386 First St,2023-10-20,,19.42,,San Jose,73788
149,729,2022-03-07,Pending,Google Pay,9496 First St,,,1198.39,,Phoenix,91863
150,393,2021-12-06,Delivered,Credit Card,3942 Main St,2021-12-09,2021-12-11,6223.81,,Philadelphia,98032
151,986,2022-12-02,Delivered,Apple Pay,4454 Main St,2022-12-03,2022-12-04,41.56,,San Diego,74103
152,532,2022-05-04,Delivered,Debit Card,5399 Second Ave,2022-05-05,2022-05-08,0,,Columbus,83812
153,667,2023-10-31,Delivered,Apple Pay,7707 Main St,2023-11-03,2023-11-08,773.06,,Austin,19266
154,953,2023-12-25,Delivered,Credit Card,9867 Oak Ave,2023-12-28,2023-12-29,0,,Phoenix,59200
155,937,2023-03-02,Processing,Google Pay,7411 Main St,,,1335.84,,Chicago,96853
156,555,2024-03-13,Pending,Apple Pay,6362 Second Ave,,,122.64,,Los Angeles,90274
157,480,2023-04-08,Delivered,Google Pay,4806 Main St,2023-04-10,2023-04-11,376.81,,Houston,98302
158,861,2023-12-19,Delivered,Apple Pay,3285 Second Ave,2023-12-22,2023-12-23,369.18,,San Diego,15754
159,667,2024-03-07,Pending,Apple Pay,7707 Main St,,,376.84,,Austin,19266
160,10,2024-01-21,Delivered,Credit Card,9677 First St,2024-01-22,2024-01-23,525.72,,Phoenix,62350
161,823,2023-01-24,Delivered,Apple Pay,7260 Oak Ave,2023-01-27,2023-01-30,4562.24,,Philadelphia,13153
162,868,2023-09-23,Delivered,Credit Card,8268 Second Ave,2023-09-24,2023-09-26,1108.33,,Philadelphia,33461
163,868,2022-09-02,Shipped,Debit Card,8268 Second Ave,2022-09-05,,838.94,,Philadelphia,33461
164,546,2024-03-17,Shipped,Google Pay,6224 Oak Ave,2024-03-20,,557.96,,Austin,24728
165,576,2022-09-15,Delivered,Debit Card,1536 Main St,2022-09-17,2022-09-18,1951.34,,Philadelphia,64651
166,655,2023-11-07,Delivered,Debit Card,7524 Main St,2023-11-10,2023-11-11,0,,Philadelphia,16875
167,470,2023-08-26,Processing,Debit Card,2481 First St,,,8413.7,,Columbus,67065
168,121,2024-01-19,Pending,Credit Card,2167 Park Rd,,,436.48,,Los Angeles,92978
169,609,2023-03-18,Delivered,PayPal,2189 Park Rd,2023-03-19,2023-03-24,140.25,,San Antonio,58394
170,99,2024-05-06,Pending,Debit Card,7156 Oak Ave,,,762.32,,Philadelphia,79621
171,503,2023-06-23,Delivered,Debit Card,5788 First St,2023-06-25,2023-07-02,135.14,,Charlotte,39770
172,946,2022-05-26,Delivered,Debit Card,6271 Main St,2022-05-28,2022-06-01,2504.6,,Phoenix,30014
173,926,2022-10-21,Shipped,Google Pay,8334 Main St,2022-10-24,,554.12,,Chicago,84329
174,148,2021-03-29,Processing,Debit Card,4228 Second Ave,,,710.38,,Phoenix,53694
175,801,2023-03-09,Processing,Credit Card,2573 Second Ave,,,2569.31,,Austin,92786
176,564,2023-07-21,Delivered,Debit Card,6332 Park Rd,2023-07-22,2023-07-27,104.76,,San Jose,90151
177,850,2023-11-10,Delivered,PayPal,5039 Second Ave,2023-11-12,2023-11-19,355.52,,New York,66602
178,37,2022-03-05,Delivered,Apple Pay,2632 Oak Ave,2022-03-07,2022-03-08,1105.84,,San Jose,33206
179,454,2023-10-07,Delivered,Debit Card,9963 Main St,2023-10-09,2023-10-10,163.52,,Philadelphia,40191
180,599,2024-04-22,Delivered,Apple Pay,7564 Park Rd,2024-04-24,2024-04-28,0,,Los Angeles,94465
181,676,2024-01-04,Delivered,Debit Card,8613 Park Rd,2024-01-05,2024-01-11,7.25,,Columbus,85851
182,876,2023-01-09,Delivered,Debit Card,4378 Main St,2023-01-12,2023-01-16,0,,Charlotte,46942
183,992,2022-12-18,Delivered,Credit Card,934 First St,2022-12-20,2022-12-24,64.28,,Columbus,78809
184,577,2022-08-18,Delivered,Google Pay,9585 Park Rd,2022-08-20,2022-08-21,218.2,,San Diego,22206
185,772,2022-11-28,Delivered,Credit Card,7398 First St,2022-11-29,2022-12-06,0,,San Diego,45190
186,886,2023-06-18,Shipped,Apple Pay,3469 Park Rd,2023-06-20,,0,,Columbus,97135
187,739,2024-03-07,Delivered,Google Pay,2076 Second Ave,2024-03-09,2024-03-12,1544.81,,Charlotte,86076
188,295,2024-05-06,Delivered,Apple Pay,6593 Park Rd,2024-05-08,2024-05-15,482.12,,New York,40689
189,86,2024-04-26,Delivered,Google Pay,1999 First St,2024-04-29,2024-05-04,125.21,,Philadelphia,10150
190,873,2023-10-24,Delivered,Apple Pay,3930 Park Rd,2023-10-25,2023-10-31,739.15,,San Diego,19946
191,191,2023-09-21,Delivered,Credit Card,2716 Park Rd,2023-09-24,2023-09-30,0,,Columbus,50988
192,206,2023-12-21,Delivered,PayPal,2096 Second Ave,2023-12-23,2023-12-30,393.32,,Phoenix,81197
193,157,2024-02-13,Delivered,Debit Card,8510 Oak Ave,2024-02-15,2024-02-18,81.18,,San Diego,22021
194,42,2023-03-09,Shipped,Debit Card,827 First St,2023-03-11,,0,,Phoenix,78146
195,782,2023-08-22,Delivered,PayPal,539 Oak Ave,2023-08-24,2023-08-27,41.71,,Columbus,95016
196,344,2023-10-26,Delivered,Google Pay,1210 Park Rd,2023-10-27,2023-11-03,692.4,,Jacksonville,24160
197,857,2024-05-30,Delivered,Debit Card,3397 Main St,2024-06-02,2024-06-05,685.44,,Austin,34819
198,223,2024-02-23,Delivered,Google Pay,5149 Main St,2024-02-26,2024-03-02,1040.66,,Austin,43352
199,445,2021-11-27,Shipped,Google Pay,1352 Main St,2021-11-29,,187.03,,Jacksonville,76476
200,62,2023-06-28,Shipped,PayPal,9800 Oak Ave,2023-07-01,,141.3,,Los Angeles,49529
201,515,2024-03-09,Shipped,PayPal,6005 Main St,2024-03-12,,88.59,,Houston,38545
202,252,2022-05-17,Delivered,Debit Card,6475 Second Ave,2022-05-19,2022-05-22,0,,San Jose,60311
203,708,2023-07-26,Delivered,Apple Pay,9756 Oak Ave,2023-07-28,2023-08-02,216.2,,Philadelphia,98280
204,304,2023-02-09,Delivered,Credit Card,7817 Main St,2023-02-11,2023-02-16,519.15,,Fort Worth,86986
205,671,2022-09-08,Processing,Apple Pay,3793 Park Rd,,,182.18,,Fort Worth,45043
206,745,2024-04-07,Cancelled,Credit Card,3957 Park Rd,,,67.35,,Charlotte,31001
207,25,2022-07-24,Shipped,Apple Pay,7554 Park Rd,2022-07-26,,547.54,,Charlotte,82845
208,315,2024-02-19,Delivered,PayPal,1229 First St,2024-02-22,2024-02-27,70.04,,San Antonio,50723
209,222,2023-03-06,Delivered,Credit Card,8461 First St,2023-03-07,2023-03-10,680.92,,Los Angeles,69432
210,182,2024-03-09,Delivered,Credit Card,2202 Second Ave,2024-03-11,2024-03-16,19.26,,Philadelphia,87042
211,776,2023-04-11,Delivered,Debit Card,838 Second Ave,2023-04-13,2023-04-14,130.7,,Charlotte,76932
212,307,2021-05-04,Processing,Credit Card,7267 Oak Ave,,,0,,Phoenix,42044
213,669,2022-04-07,Delivered,Google Pay,944 Main St,2022-04-09,2022-04-10,739.08,,Charlotte,57918
214,919,2023-06-16,Shipped,Apple Pay,7248 Park Rd,2023-06-17,,290.65,,Houston,76795
215,937,2023-04-12,Pending,Google Pay,7411 Main St,,,2852.62,,Chicago,96853
216,382,2021-03-23,Pending,PayPal,2862 Second Ave,,,690.2,,Fort Worth,74169
217,500,2023-02-23,Shipped,Debit Card,3857 Oak Ave,2023-02-24,,841.16,,Phoenix,68085
218,287,2023-07-09,Delivered,PayPal,4894 Park Rd,2023-07-12,2023-07-19,321.18,,Philadelphia,45041
219,673,2024-02-12,Delivered,Credit Card,1175 Oak Ave,2024-02-13,2024-02-15,12534.7,,Fort Worth,21443
220,216,2023-03-29,Delivered,Apple Pay,4164 Main St,2023-03-30,2023-04-06,1222.06,,Charlotte,60275
221,607,2023-02-10,Delivered,Credit Card,2503 Oak Ave,2023-02-11,2023-02-13,360.91,,Fort Worth,79632
222,518,2024-05-02,Delivered,Apple Pay,5924 Oak Ave,2024-05-04,2024-05-11,1115.56,,New York,80300
223,468,2021-12-27,Processing,Apple Pay,2362 Main St,,,131.66,,Jacksonville,68536
224,276,2023-11-23,Shipped,Debit Card,8119 Second Ave,2023-11-26,,2031.01,,Phoenix,51078
225,438,2022-10-20,Delivered,Credit Card,5733 Oak Ave,2022-10-22,2022-10-23,1309.62,,Jacksonville,94663
226,864,2023-10-31,Delivered,Google Pay,2907 Second Ave,2023-11-02,2023-11-07,43.03,,Austin,66848
227,348,2023-07-09,Delivered,Credit Card,2803 Second Ave,2023-07-10,2023-07-11,476.6,,San Antonio,30591
228,132,2023-01-30,Delivered,Apple Pay,8494 Main St,2023-02-01,2023-02-03,1022.42,,Fort Worth,66349
229,86,2023-12-14,Pending,PayPal,1999 First St,,,0,,Philadelphia,10150
230,797,2022-11-28,Delivered,Google Pay,3407 First St,2022-11-30,2022-12-04,100.13,,Columbus,10863
231,108,2022-06-05,Delivered,Google Pay,9231 Park Rd,2022-06-07,2022-06-12,505.47,,Columbus,61717
232,367,2023-11-16,Delivered,PayPal,6202 First St,2023-11-19,2023-11-21,993,,Houston,68471
233,818,2022-03-25,Delivered,Apple Pay,7457 Oak Ave,2022-03-28,2022-04-04,866.59,,Austin,21706
234,173,2023-12-03,Delivered,PayPal,2439 Second Ave,2023-12-04,2023-12-06,1718.81,,New York,67432
235,603,2022-11-15,Delivered,PayPal,4092 Second Ave,2022-11-16,2022-11-22,1055.45,,Houston,73225
236,361,2024-01-14,Delivered,Google Pay,6584 Park Rd,2024-01-16,2024-01-17,0,,New York,41139
237,946,2022-07-21,Delivered,Credit Card,6271 Main St,2022-07-22,2022-07-26,400.99,,Phoenix,30014
238,926,2023-08-14,Delivered,Credit Card,8334 Main St,2023-08-16,2023-08-20,0,,Chicago,84329
239,542,2023-07-06,Delivered,Credit Card,7218 Oak Ave,2023-07-08,2023-07-12,107.26,,Dallas,73035
240,8,2023-09-27,Shipped,PayPal,5413 Main St,2023-09-28,,268.3,,Austin,14207
241,135,2023-08-25,Delivered,Debit Card,3870 Second Ave,2023-08-27,2023-08-31,141.21,,Jacksonville,97562
242,244,2022-03-04,Shipped,Google Pay,2574 Main St,2022-03-07,,0,,Los Angeles,76287
243,366,2022-08-20,Delivered,Credit Card,6004 Oak Ave,2022-08-22,2022-08-25,121.12,,Charlotte,58280
244,597,2024-04-13,Shipped,Debit Card,926 Main St,2024-04-16,,287.25,,Charlotte,17051
245,307,2020-11-04,Delivered,PayPal,7267 Oak Ave,2020-11-07,2020-11-08,2959.4,,Phoenix,42044
246,923,2021-12-13,Delivered,Debit Card,6371 Second Ave,2021-12-15,2021-12-19,595.81,,Dallas,63950
247,569,2024-02-01,Processing,Apple Pay,4197 Park Rd,,,5386.8,,Los Angeles,95010
248,747,2023-06-18,Delivered,Apple Pay,6995 Second Ave,2023-06-19,2023-06-21,35.37,,Philadelphia,52830
249,241,2022-09-22,Shipped,Debit Card,2597 Oak Ave,2022-09-23,,893.46,,Phoenix,40149
250,713,2022-07-04,Delivered,Debit Card,2448 First St,2022-07-07,2022-07-13,0,,Los Angeles,87405
251,215,2023-09-13,Delivered,Debit Card,6743 First St,2023-09-15,2023-09-17,0,,San Jose,52982
252,863,2023-09-12,Delivered,Credit Card,2348 First St,2023-09-13,2023-09-18,462.72,,New York,24544
253,196,2022-04-13,Delivered,Debit Card,1684 First St,2022-04-15,2022-04-22,354.31,,Chicago,54444
254,4,2022-03-07,Delivered,PayPal,5735 Second Ave,2022-03-10,2022-03-17,951.4,,Philadelphia,15695
255,340,2023-11-22,Shipped,Debit Card,7257 First St,2023-11-23,,1643.4,,Chicago,51586
