order_id,customer_id,order_date,status,payment_method,shipping_address,shipping_city,shipping_state,shipping_zip,shipping_date,delivery_date,total_amount
27,500,2021-12-20,Delivered,PayPal,3857 Oak Ave,Phoenix,AZ,68085,2021-12-21,2021-12-28,473.98
28,776,2021-05-29,Delivered,Debit Card,838 Second Ave,Charlotte,NC,76932,2021-05-30,2021-06-03,418.42999999999995
29,838,2022-05-03,Delivered,Google Pay,7680 Park Rd,Los Angeles,CA,68271,2022-05-05,2022-05-08,480.12
30,330,2024-02-14,Delivered,Apple Pay,2535 Main St,San Diego,CA,91156,2024-02-16,2024-02-19,154.02
31,736,2023-04-30,Delivered,Debit Card,8052 Second Ave,San Diego,CA,65314,2023-05-03,2023-05-05,7237.1
32,349,2022-01-03,Shipped,Debit Card,4712 Park Rd,Phoenix,AZ,22571,2022-01-04,,2972.8199999999997
33,205,2024-04-27,Delivered,Apple Pay,4976 Park Rd,Houston,TX,37168,2024-04-29,2024-05-01,149.88
34,544,2023-03-28,Delivered,PayPal,6876 First St,Austin,TX,55653,2023-03-29,2023-04-01,221.4
35,655,2021-09-24,Processing,Credit Card,7524 Main St,Philadelphia,PA,16875,,,128.44
36,967,2023-08-19,Delivered,PayPal,1180 Park Rd,San Antonio,TX,21662,2023-08-21,2023-08-22,10094.33
37,848,2024-03-21,Delivered,Apple Pay,991 Park Rd,Columbus,OH,41030,2024-03-22,2024-03-26,263.68
38,179,2024-05-16,Shipped,PayPal,6022 Second Ave,Fort Worth,TX,25907,2024-05-18,,557.46
39,183,2021-07-12,Delivered,Debit Card,2607 Park Rd,Dallas,TX,31229,2021-07-14,2021-07-17,213.66
40,742,2024-04-28,Delivered,Google Pay,7043 First St,Dallas,TX,42289,2024-04-30,2024-05-02,52.76
41,396,2022-03-16,Delivered,Credit Card,2367 Oak Ave,New York,NY,56861,2022-03-17,2022-03-18,710.3900000000001
42,96,2024-05-01,Delivered,Debit Card,7792 Park Rd,Los Angeles,CA,91691,2024-05-03,2024-05-06,296.33000000000004
43,70,2022-08-08,Delivered,Credit Card,7534 Park Rd,Jacksonville,FL,42951,2022-08-10,2022-08-15,11.99
44,49,2023-10-22,Delivered,Debit Card,8586 First St,Fort Worth,TX,83060,2023-10-24,2023-10-28,564.39
45,982,2023-10-20,Delivered,PayPal,1488 Second Ave,Houston,TX,30147,2023-10-21,2023-10-27,141.86
46,102,2023-06-21,Delivered,Google Pay,7051 Park Rd,Austin,TX,49599,2023-06-24,2023-06-25,703.5699999999999
47,55,2021-07-20,Delivered,Apple Pay,9047 Second Ave,Dallas,TX,73993,2021-07-23,2021-07-25,0.0
48,902,2022-05-13,Delivered,Credit Card,5281 Main St,San Antonio,TX,37887,2022-05-14,2022-05-16,0.0
49,165,2023-05-01,Shipped,Debit Card,1798 Second Ave,Houston,TX,27486,2023-05-04,,992.0799999999999
50,161,2022-08-12,Delivered,Credit Card,882 Oak Ave,Los Angeles,CA,93748,2022-08-14,2022-08-17,368.78999999999996
51,726,2024-01-17,Delivered,Apple Pay,7021 Second Ave,Austin,TX,65203,2024-01-18,2024-01-22,87.14
52,115,2024-03-17,Processing,Apple Pay,2163 Second Ave,Houston,TX,18992,,,37.38
53,885,2024-04-28,Delivered,Google Pay,2672 Main St,San Antonio,TX,80313,2024-05-01,2024-05-03,541.4
54,949,2024-05-29,Processing,Debit Card,2244 Park Rd,Los Angeles,CA,17094,,,3000.7799999999997
55,991,2022-09-24,Shipped,Debit Card,2267 First St,Los Angeles,CA,45895,2022-09-26,,10520.630000000001
56,396,2022-07-08,Processing,Google Pay,2367 Oak Ave,New York,NY,56861,,,1707.7599999999998
57,763,2021-01-19,Processing,Debit Card,7804 Park Rd,New York,NY,71228,,,749.25
58,47,2024-01-22,Pending,Debit Card,500 Main St,Chicago,IL,72277,,,1866.71
59,747,2024-02-19,Shipped,Debit Card,6995 Second Ave,Philadelphia,PA,52830,2024-02-20,,3026.84
60,32,2024-04-16,Delivered,Apple Pay,1797 Oak Ave,Charlotte,NC,25129,2024-04-18,2024-04-25,169.1
61,815,2020-04-07,Delivered,Credit Card,4916 First St,Phoenix,AZ,28726,2020-04-09,2020-04-13,761.72
62,511,2023-10-06,Delivered,Google Pay,8265 Park Rd,Fort Worth,TX,14159,2023-10-07,2023-10-09,953.13
63,738,2022-05-20,Shipped,Apple Pay,4982 Main St,San Jose,CA,57636,2022-05-23,,0.0
64,903,2022-04-29,Delivered,PayPal,1203 Oak Ave,New York,NY,49522,2022-04-30,2022-05-05,2377.3100000000004
65,48,2023-09-02,Delivered,Debit Card,6391 First St,Jacksonville,FL,41979,2023-09-03,2023-09-07,7305.55
66,692,2022-04-29,Delivered,Google Pay,140 Oak Ave,Fort Worth,TX,49343,2022-05-02,2022-05-08,0.0
67,877,2023-01-08,Shipped,Google Pay,8499 Oak Ave,San Diego,CA,39829,2023-01-10,,496.56
68,539,2022-05-30,Shipped,Google Pay,5093 Second Ave,New York,NY,51853,2022-05-31,,3139.19
69,535,2022-09-18,Delivered,Apple Pay,718 First St,Los Angeles,CA,30461,2022-09-20,2022-09-23,319.2
70,269,2023-04-19,Delivered,Apple Pay,8466 Second Ave,Houston,TX,86089,2023-04-21,2023-04-22,16.56
71,517,2024-04-07,Cancelled,Google Pay,1566 Oak Ave,Fort Worth,TX,75525,,,617.78
72,956,2023-05-31,Shipped,Credit Card,8906 Oak Ave,Los Angeles,CA,12588,2023-06-01,,3261.64
73,411,2023-05-30,Delivered,Debit Card,5636 Main St,Jacksonville,FL,16094,2023-06-02,2023-06-09,4171.86
74,40,2023-12-14,Delivered,PayPal,8446 First St,Philadelphia,PA,80282,2023-12-17,2023-12-23,781.9200000000001
75,326,2021-11-18,Delivered,Apple Pay,1769 Oak Ave,San Diego,CA,11567,2021-11-20,2021-11-23,180.99
76,758,2022-10-17,Delivered,PayPal,5553 Oak Ave,New York,NY,56439,2022-10-18,2022-10-23,0.0
77,729,2022-06-26,Delivered,Debit Card,9496 First St,Phoenix,AZ,91863,2022-06-28,2022-06-29,0.0
78,970,2022-01-11,Delivered,Apple Pay,5310 First St,Chicago,IL,55242,2022-01-12,2022-01-16,683.8
79,54,2024-03-28,Delivered,Debit Card,9669 Main St,San Antonio,TX,59857,2024-03-30,2024-04-04,2482.62
80,697,2024-03-08,Delivered,Debit Card,5385 Park Rd,Dallas,TX,49462,2024-03-11,2024-03-14,86.92
81,730,2022-08-12,Delivered,Credit Card,8800 First St,San Jose,CA,37490,2022-08-13,2022-08-20,45.57
82,336,2024-01-11,Processing,Credit Card,9334 Oak Ave,San Jose,CA,34672,,,770.28
83,353,2023-01-17,Delivered,Apple Pay,4415 Oak Ave,San Diego,CA,83956,2023-01-19,2023-01-23,1918.4199999999998
84,225,2024-03-10,Delivered,Credit Card,6987 Park Rd,Fort Worth,TX,68790,2024-03-11,2024-03-12,548.8199999999999
85,660,2023-08-09,Shipped,Apple Pay,1920 First St,Chicago,IL,64817,2023-08-10,,0.0
86,555,2024-04-27,Delivered,Apple Pay,6362 Second Ave,Los Angeles,CA,90274,2024-04-28,2024-05-01,4651.86
87,375,2024-02-07,Pending,Credit Card,4350 First St,Phoenix,AZ,60891,,,1053.4
88,184,2022-03-19,Delivered,Debit Card,3316 Second Ave,Phoenix,AZ,26406,2022-03-21,2022-03-25,922.9599999999999
89,525,2021-03-25,Delivered,Credit Card,8052 Oak Ave,Los Angeles,CA,14170,2021-03-28,2021-04-03,3788.4599999999996
90,301,2024-01-12,Shipped,Credit Card,9166 Second Ave,Houston,TX,89638,2024-01-13,,572.71
91,454,2024-01-14,Delivered,Google Pay,9963 Main St,Philadelphia,PA,40191,2024-01-17,2024-01-23,149.6
92,712,2021-08-09,Shipped,Google Pay,6120 Oak Ave,Austin,TX,98363,2021-08-12,,2071.52
93,764,2023-07-10,Processing,Debit Card,8177 Main St,San Diego,CA,26207,,,1638.2499999999998
94,905,2022-06-26,Processing,Apple Pay,7999 Main St,Columbus,OH,12313,,,76.93
95,613,2023-12-03,Pending,Apple Pay,6913 First St,Chicago,IL,89223,,,137.52
96,474,2024-05-03,Delivered,Google Pay,6644 Park Rd,Phoenix,AZ,61792,2024-05-04,2024-05-05,1258.15
97,53,2022-06-14,Delivered,PayPal,3605 Main St,Jacksonville,FL,63424,2022-06-16,2022-06-22,0.0
98,983,2024-02-12,Delivered,PayPal,7811 First St,Houston,TX,49227,2024-02-14,2024-02-15,407.8
99,2,2022-03-04,Shipped,Credit Card,534 Second Ave,San Jose,CA,95181,2022-03-06,,607.6
100,213,2022-11-23,Delivered,Apple Pay,9001 Second Ave,San Diego,CA,27589,2022-11-25,2022-11-30,8970.85
101,668,2022-06-18,Delivered,PayPal,8987 Second Ave,Jacksonville,FL,99740,2022-06-21,2022-06-22,1902.53
102,662,2022-02-14,Processing,PayPal,7681 Park Rd,Columbus,OH,66113,,,7609.36
103,537,2023-02-04,Delivered,PayPal,8099 Second Ave,Chicago,IL,88018,2023-02-07,2023-02-09,412.65
104,999,2024-03-11,Delivered,Google Pay,2194 Oak Ave,New York,NY,82154,2024-03-14,2024-03-19,0.0
105,191,2023-06-12,Delivered,Apple Pay,2716 Park Rd,Columbus,OH,50988,2023-06-15,2023-06-18,0.0
106,118,2021-08-12,Delivered,PayPal,6997 Second Ave,Chicago,IL,18330,2021-08-14,2021-08-18,141.48
107,917,2024-05-17,Shipped,Apple Pay,3206 Main St,Chicago,IL,75627,2024-05-20,,562.9
108,164,2024-04-28,Delivered,Google Pay,7802 Main St,San Antonio,TX,60709,2024-04-30,2024-05-01,204.38
109,417,2023-01-30,Delivered,Apple Pay,8847 Park Rd,Austin,TX,11673,2023-02-01,2023-02-04,125.82
110,219,2024-04-02,Delivered,Credit Card,6221 First St,San Diego,CA,81989,2024-04-05,2024-04-07,495.07000000000005
111,170,2022-12-09,Delivered,Google Pay,7155 Second Ave,Los Angeles,CA,81496,2022-12-12,2022-12-14,182.25
112,97,2023-07-07,Delivered,Google Pay,5288 First St,San Antonio,TX,14705,2023-07-10,2023-07-12,102.21
113,327,2023-06-26,Cancelled,Debit Card,1476 Second Ave,Austin,TX,43924,,,88.0
114,18,2024-03-17,Delivered,Apple Pay,3781 Main St,Houston,TX,12757,2024-03-18,2024-03-25,88.86
115,945,2023-02-17,Cancelled,Google Pay,5345 Park Rd,San Jose,CA,26182,,,193.5
116,132,2022-01-19,Delivered,PayPal,8494 Main St,Fort Worth,TX,66349,2022-01-22,2022-01-23,289.84000000000003
117,405,2023-08-31,Delivered,Debit Card,8248 Main St,Los Angeles,CA,62879,2023-09-01,2023-09-07,442.12
118,221,2022-09-19,Delivered,PayPal,9483 Second Ave,Houston,TX,31566,2022-09-21,2022-09-27,228.39
119,38,2023-12-21,Delivered,Apple Pay,4165 Park Rd,Fort Worth,TX,24168,2023-12-24,2023-12-30,1442.04
120,20,2023-04-08,Delivered,Credit Card,9455 Second Ave,Chicago,IL,41850,2023-04-11,2023-04-15,1072.52
121,934,2022-06-17,Delivered,Debit Card,6001 Main St,New York,NY,98857,2022-06-19,2022-06-21,94.3
122,205,2023-12-15,Delivered,Credit Card,4976 Park Rd,Houston,TX,37168,2023-12-18,2023-12-25,0.0
123,746,2023-09-15,Processing,Credit Card,8155 First St,Columbus,OH,53610,,,46.0
124,606,2024-01-28,Cancelled,Debit Card,1881 Second Ave,San Jose,CA,52914,,,0.0
125,345,2024-03-29,Delivered,Credit Card,6883 First St,Charlotte,NC,56036,2024-03-30,2024-04-04,377.6
126,444,2022-01-21,Pending,Credit Card,9138 Main St,San Diego,CA,94613,,,485.79
127,626,2022-12-21,Processing,Debit Card,4831 First St,New York,NY,98931,,,1269.8900000000003
128,31,2024-05-13,Processing,PayPal,4769 Oak Ave,Philadelphia,PA,81200,,,5831.25
129,775,2024-02-26,Cancelled,Apple Pay,2534 Oak Ave,Phoenix,AZ,49375,,,40.36
130,401,2022-07-17,Delivered,Google Pay,8670 Second Ave,Dallas,TX,66734,2022-07-18,2022-07-24,546.88
131,295,2024-02-18,Delivered,PayPal,6593 Park Rd,New York,NY,40689,2024-02-20,2024-02-22,808.36
132,92,2023-08-16,Delivered,Google Pay,2534 First St,Columbus,OH,73483,2023-08-18,2023-08-24,3950.2999999999997
133,564,2023-11-16,Pending,Apple Pay,6332 Park Rd,San Jose,CA,90151,,,466.43
134,34,2020-06-04,Delivered,PayPal,7039 Park Rd,Austin,TX,10464,2020-06-06,2020-06-07,480.61
135,906,2024-01-18,Delivered,Google Pay,317 Oak Ave,San Jose,CA,90786,2024-01-20,2024-01-27,255.68
136,177,2020-12-18,Delivered,PayPal,2109 Oak Ave,Houston,TX,69250,2020-12-21,2020-12-26,167.61
137,473,2023-09-14,Cancelled,Apple Pay,3895 Second Ave,Dallas,TX,98345,,,943.96
138,327,2023-05-05,Cancelled,Credit Card,1476 Second Ave,Austin,TX,43924,,,88.75
139,703,2023-10-02,Shipped,Credit Card,408 First St,Los Angeles,CA,15572,2023-10-03,,191.57999999999998
140,541,2021-11-03,Delivered,Credit Card,2265 Park Rd,Chicago,IL,72371,2021-11-06,2021-11-12,402.2
141,457,2024-05-07,Delivered,Google Pay,9334 Main St,San Jose,CA,47152,2024-05-09,2024-05-11,39.57
142,202,2023-08-31,Pending,PayPal,7325 Park Rd,New York,NY,29848,,,220.66000000000003
143,789,2024-04-26,Shipped,Credit Card,5656 Second Ave,San Jose,CA,71402,2024-04-28,,2520.81
144,180,2022-08-26,Delivered,Credit Card,9476 Park Rd,Dallas,TX,82305,2022-08-29,2022-09-05,169.28
145,782,2024-02-13,Delivered,Apple Pay,539 Oak Ave,Columbus,OH,95016,2024-02-16,2024-02-18,48.32
146,340,2024-01-10,Delivered,Google Pay,7257 First St,Chicago,IL,51586,2024-01-12,2024-01-19,1579.44
147,967,2023-08-29,Shipped,Google Pay,1180 Park Rd,San Antonio,TX,21662,2023-08-30,,8346.1
148,279,2023-10-18,Shipped,PayPal,6386 First St,San Jose,CA,73788,2023-10-20,,19.42
149,729,2022-03-07,Pending,Google Pay,9496 First St,Phoenix,AZ,91863,,,1198.39
150,393,2021-12-06,Delivered,Credit Card,3942 Main St,Philadelphia,PA,98032,2021-12-09,2021-12-11,6223.81
151,986,2022-12-02,Delivered,Apple Pay,4454 Main St,San Diego,CA,74103,2022-12-03,2022-12-04,41.56
152,532,2022-05-04,Delivered,Debit Card,5399 Second Ave,Columbus,OH,83812,2022-05-05,2022-05-08,0.0
153,667,2023-10-31,Delivered,Apple Pay,7707 Main St,Austin,TX,19266,2023-11-03,2023-11-08,773.06
154,953,2023-12-25,Delivered,Credit Card,9867 Oak Ave,Phoenix,AZ,59200,2023-12-28,2023-12-29,0.0
155,937,2023-03-02,Processing,Google Pay,7411 Main St,Chicago,IL,96853,,,1335.8400000000001
156,555,2024-03-13,Pending,Apple Pay,6362 Second Ave,Los Angeles,CA,90274,,,122.64
157,480,2023-04-08,Delivered,Google Pay,4806 Main St,Houston,TX,98302,2023-04-10,2023-04-11,376.80999999999995
158,861,2023-12-19,Delivered,Apple Pay,3285 Second Ave,San Diego,CA,15754,2023-12-22,2023-12-23,369.18
159,667,2024-03-07,Pending,Apple Pay,7707 Main St,Austin,TX,19266,,,376.84000000000003
160,10,2024-01-21,Delivered,Credit Card,9677 First St,Phoenix,AZ,62350,2024-01-22,2024-01-23,525.72
161,823,2023-01-24,Delivered,Apple Pay,7260 Oak Ave,Philadelphia,PA,13153,2023-01-27,2023-01-30,4562.24
162,868,2023-09-23,Delivered,Credit Card,8268 Second Ave,Philadelphia,PA,33461,2023-09-24,2023-09-26,1108.33
163,868,2022-09-02,Shipped,Debit Card,8268 Second Ave,Philadelphia,PA,33461,2022-09-05,,838.94
164,546,2024-03-17,Shipped,Google Pay,6224 Oak Ave,Austin,TX,24728,2024-03-20,,557.9599999999999
165,576,2022-09-15,Delivered,Debit Card,1536 Main St,Philadelphia,PA,64651,2022-09-17,2022-09-18,1951.34
166,655,2023-11-07,Delivered,Debit Card,7524 Main St,Philadelphia,PA,16875,2023-11-10,2023-11-11,0.0
167,470,2023-08-26,Processing,Debit Card,2481 First St,Columbus,OH,67065,,,8413.7
168,121,2024-01-19,Pending,Credit Card,2167 Park Rd,Los Angeles,CA,92978,,,436.48
169,609,2023-03-18,Delivered,PayPal,2189 Park Rd,San Antonio,TX,58394,2023-03-19,2023-03-24,140.25
170,99,2024-05-06,Pending,Debit Card,7156 Oak Ave,Philadelphia,PA,79621,,,762.32
171,503,2023-06-23,Delivered,Debit Card,5788 First St,Charlotte,NC,39770,2023-06-25,2023-07-02,135.14
172,946,2022-05-26,Delivered,Debit Card,6271 Main St,Phoenix,AZ,30014,2022-05-28,2022-06-01,2504.6
173,926,2022-10-21,Shipped,Google Pay,8334 Main St,Chicago,IL,84329,2022-10-24,,554.12
174,148,2021-03-29,Processing,Debit Card,4228 Second Ave,Phoenix,AZ,53694,,,710.38
175,801,2023-03-09,Processing,Credit Card,2573 Second Ave,Austin,TX,92786,,,2569.31
176,564,2023-07-21,Delivered,Debit Card,6332 Park Rd,San Jose,CA,90151,2023-07-22,2023-07-27,104.76
177,850,2023-11-10,Delivered,PayPal,5039 Second Ave,New York,NY,66602,2023-11-12,2023-11-19,355.52000000000004
178,37,2022-03-05,Delivered,Apple Pay,2632 Oak Ave,San Jose,CA,33206,2022-03-07,2022-03-08,1105.84
179,454,2023-10-07,Delivered,Debit Card,9963 Main St,Philadelphia,PA,40191,2023-10-09,2023-10-10,163.52
180,599,2024-04-22,Delivered,Apple Pay,7564 Park Rd,Los Angeles,CA,94465,2024-04-24,2024-04-28,0.0
181,676,2024-01-04,Delivered,Debit Card,8613 Park Rd,Columbus,OH,85851,2024-01-05,2024-01-11,7.25
182,876,2023-01-09,Delivered,Debit Card,4378 Main St,Charlotte,NC,46942,2023-01-12,2023-01-16,0.0
183,992,2022-12-18,Delivered,Credit Card,934 First St,Columbus,OH,78809,2022-12-20,2022-12-24,64.28
184,577,2022-08-18,Delivered,Google Pay,9585 Park Rd,San Diego,CA,22206,2022-08-20,2022-08-21,218.2
185,772,2022-11-28,Delivered,Credit Card,7398 First St,San Diego,CA,45190,2022-11-29,2022-12-06,0.0
186,886,2023-06-18,Shipped,Apple Pay,3469 Park Rd,Columbus,OH,97135,2023-06-20,,0.0
187,739,2024-03-07,Delivered,Google Pay,2076 Second Ave,Charlotte,NC,86076,2024-03-09,2024-03-12,1544.81
188,295,2024-05-06,Delivered,Apple Pay,6593 Park Rd,New York,NY,40689,2024-05-08,2024-05-15,482.12
189,86,2024-04-26,Delivered,Google Pay,1999 First St,Philadelphia,PA,10150,2024-04-29,2024-05-04,125.21000000000001
190,873,2023-10-24,Delivered,Apple Pay,3930 Park Rd,San Diego,CA,19946,2023-10-25,2023-10-31,739.1500000000001
191,191,2023-09-21,Delivered,Credit Card,2716 Park Rd,Columbus,OH,50988,2023-09-24,2023-09-30,0.0
192,206,2023-12-21,Delivered,PayPal,2096 Second Ave,Phoenix,AZ,81197,2023-12-23,2023-12-30,393.32000000000005
193,157,2024-02-13,Delivered,Debit Card,8510 Oak Ave,San Diego,CA,22021,2024-02-15,2024-02-18,81.18
194,42,2023-03-09,Shipped,Debit Card,827 First St,Phoenix,AZ,78146,2023-03-11,,0.0
195,782,2023-08-22,Delivered,PayPal,539 Oak Ave,Columbus,OH,95016,2023-08-24,2023-08-27,41.71
196,344,2023-10-26,Delivered,Google Pay,1210 Park Rd,Jacksonville,FL,24160,2023-10-27,2023-11-03,692.4
197,857,2024-05-30,Delivered,Debit Card,3397 Main St,Austin,TX,34819,2024-06-02,2024-06-05,685.44
198,223,2024-02-23,Delivered,Google Pay,5149 Main St,Austin,TX,43352,2024-02-26,2024-03-02,1040.66
199,445,2021-11-27,Shipped,Google Pay,1352 Main St,Jacksonville,FL,76476,2021-11-29,,187.03
200,62,2023-06-28,Shipped,PayPal,9800 Oak Ave,Los Angeles,CA,49529,2023-07-01,,141.3
201,515,2024-03-09,Shipped,PayPal,6005 Main St,Houston,TX,38545,2024-03-12,,88.59
202,252,2022-05-17,Delivered,Debit Card,6475 Second Ave,San Jose,CA,60311,2022-05-19,2022-05-22,0.0
203,708,2023-07-26,Delivered,Apple Pay,9756 Oak Ave,Philadelphia,PA,98280,2023-07-28,2023-08-02,216.2
204,304,2023-02-09,Delivered,Credit Card,7817 Main St,Fort Worth,TX,86986,2023-02-11,2023-02-16,519.15
205,671,2022-09-08,Processing,Apple Pay,3793 Park Rd,Fort Worth,TX,45043,,,182.18
206,745,2024-04-07,Cancelled,Credit Card,3957 Park Rd,Charlotte,NC,31001,,,67.35
207,25,2022-07-24,Shipped,Apple Pay,7554 Park Rd,Charlotte,NC,82845,2022-07-26,,547.54
208,315,2024-02-19,Delivered,PayPal,1229 First St,San Antonio,TX,50723,2024-02-22,2024-02-27,70.04
209,222,2023-03-06,Delivered,Credit Card,8461 First St,Los Angeles,CA,69432,2023-03-07,2023-03-10,680.9200000000001
210,182,2024-03-09,Delivered,Credit Card,2202 Second Ave,Philadelphia,PA,87042,2024-03-11,2024-03-16,19.26
211,776,2023-04-11,Delivered,Debit Card,838 Second Ave,Charlotte,NC,76932,2023-04-13,2023-04-14,130.7
212,307,2021-05-04,Processing,Credit Card,7267 Oak Ave,Phoenix,AZ,42044,,,0.0
213,669,2022-04-07,Delivered,Google Pay,944 Main St,Charlotte,NC,57918,2022-04-09,2022-04-10,739.0799999999999
214,919,2023-06-16,Shipped,Apple Pay,7248 Park Rd,Houston,TX,76795,2023-06-17,,290.65
215,937,2023-04-12,Pending,Google Pay,7411 Main St,Chicago,IL,96853,,,2852.62
216,382,2021-03-23,Pending,PayPal,2862 Second Ave,Fort Worth,TX,74169,,,690.1999999999999
217,500,2023-02-23,Shipped,Debit Card,3857 Oak Ave,Phoenix,AZ,68085,2023-02-24,,841.16
218,287,2023-07-09,Delivered,PayPal,4894 Park Rd,Philadelphia,PA,45041,2023-07-12,2023-07-19,321.18
219,673,2024-02-12,Delivered,Credit Card,1175 Oak Ave,Fort Worth,TX,21443,2024-02-13,2024-02-15,12534.7
220,216,2023-03-29,Delivered,Apple Pay,4164 Main St,Charlotte,NC,60275,2023-03-30,2023-04-06,1222.06
221,607,2023-02-10,Delivered,Credit Card,2503 Oak Ave,Fort Worth,TX,79632,2023-02-11,2023-02-13,360.91
222,518,2024-05-02,Delivered,Apple Pay,5924 Oak Ave,New York,NY,80300,2024-05-04,2024-05-11,1115.56
223,468,2021-12-27,Processing,Apple Pay,2362 Main St,Jacksonville,FL,68536,,,131.66
224,276,2023-11-23,Shipped,Debit Card,8119 Second Ave,Phoenix,AZ,51078,2023-11-26,,2031.01
225,438,2022-10-20,Delivered,Credit Card,5733 Oak Ave,Jacksonville,FL,94663,2022-10-22,2022-10-23,1309.6200000000001
226,864,2023-10-31,Delivered,Google Pay,2907 Second Ave,Austin,TX,66848,2023-11-02,2023-11-07,43.03
227,348,2023-07-09,Delivered,Credit Card,2803 Second Ave,San Antonio,TX,30591,2023-07-10,2023-07-11,476.6
228,132,2023-01-30,Delivered,Apple Pay,8494 Main St,Fort Worth,TX,66349,2023-02-01,2023-02-03,1022.4200000000001
229,86,2023-12-14,Pending,PayPal,1999 First St,Philadelphia,PA,10150,,,0.0
230,797,2022-11-28,Delivered,Google Pay,3407 First St,Columbus,OH,10863,2022-11-30,2022-12-04,100.13
231,108,2022-06-05,Delivered,Google Pay,9231 Park Rd,Columbus,OH,61717,2022-06-07,2022-06-12,505.47
232,367,2023-11-16,Delivered,PayPal,6202 First St,Houston,TX,68471,2023-11-19,2023-11-21,993.0
233,818,2022-03-25,Delivered,Apple Pay,7457 Oak Ave,Austin,TX,21706,2022-03-28,2022-04-04,866.5899999999999
234,173,2023-12-03,Delivered,PayPal,2439 Second Ave,New York,NY,67432,2023-12-04,2023-12-06,1718.81
235,603,2022-11-15,Delivered,PayPal,4092 Second Ave,Houston,TX,73225,2022-11-16,2022-11-22,1055.45
236,361,2024-01-14,Delivered,Google Pay,6584 Park Rd,New York,NY,41139,2024-01-16,2024-01-17,0.0
237,946,2022-07-21,Delivered,Credit Card,6271 Main St,Phoenix,AZ,30014,2022-07-22,2022-07-26,400.99
238,926,2023-08-14,Delivered,Credit Card,8334 Main St,Chicago,IL,84329,2023-08-16,2023-08-20,0.0
239,542,2023-07-06,Delivered,Credit Card,7218 Oak Ave,Dallas,TX,73035,2023-07-08,2023-07-12,107.26
240,8,2023-09-27,Shipped,PayPal,5413 Main St,Austin,TX,14207,2023-09-28,,268.3
241,135,2023-08-25,Delivered,Debit Card,3870 Second Ave,Jacksonville,FL,97562,2023-08-27,2023-08-31,141.21
242,244,2022-03-04,Shipped,Google Pay,2574 Main St,Los Angeles,CA,76287,2022-03-07,,0.0
